Started Logging on Sun Mar 07 22:50:15 1999 
count,hh,mm,ss,AD1,AD2,AD3,AD4,IP1,IP2,IP3,IP4
000286,22,50,16,116,113,118,006,0,0,0,0
000287,22,50,16,119,113,117,006,0,0,0,0
000288,22,50,16,116,113,118,006,0,0,0,0
000289,22,50,16,116,113,117,006,0,0,0,0
000290,22,50,16,116,113,117,006,0,0,0,0
000291,22,50,16,116,113,119,006,0,0,0,0
000292,22,50,16,116,113,119,006,0,0,0,0
000293,22,50,16,116,113,119,006,0,0,0,0
000294,22,50,16,116,113,119,006,0,0,0,0
000295,22,50,16,117,113,120,006,0,0,0,0
000296,22,50,16,116,113,116,006,0,0,0,0
000297,22,50,16,116,113,117,006,0,0,0,0
000298,22,50,16,116,113,118,006,0,0,0,0
000299,22,50,16,117,114,118,006,0,0,0,0
updating time (100 readings since last time update)
000300,22,50,16,116,113,119,006,0,0,0,0
000301,22,50,16,116,113,117,006,0,0,0,0
000302,22,50,16,116,113,118,007,0,0,0,0
000303,22,50,16,116,113,116,006,0,0,0,0
000304,22,50,16,116,113,116,006,0,0,0,0
000305,22,50,16,116,113,115,006,0,0,0,0
000306,22,50,16,116,113,116,006,0,0,0,0
000307,22,50,16,116,113,117,006,0,0,0,0
000308,22,50,16,116,113,116,006,0,0,0,0
000309,22,50,16,116,113,117,006,0,0,0,0
000310,22,50,16,116,113,118,006,0,0,0,0
000311,22,50,16,117,113,120,006,0,0,0,0
000312,22,50,16,116,113,119,006,0,0,0,0
000313,22,50,16,115,113,117,006,0,0,0,0
000314,22,50,16,116,113,119,006,0,0,0,0
000315,22,50,16,117,113,119,006,0,0,0,0
000316,22,50,16,116,113,121,006,0,0,0,0
000317,22,50,16,116,113,119,006,0,0,0,0
000318,22,50,16,116,113,117,006,0,0,0,0
000319,22,50,16,116,113,119,006,0,0,0,0
000320,22,50,16,116,113,118,006,0,0,0,0
000321,22,50,16,116,113,117,006,0,0,0,0
000322,22,50,16,118,113,116,006,0,0,0,0
000323,22,50,16,116,113,116,006,0,0,0,0
000324,22,50,16,116,113,118,006,0,0,0,0
000325,22,50,16,116,113,117,006,0,0,0,0
000326,22,50,16,116,113,119,006,0,0,0,0
000327,22,50,16,116,113,118,006,0,0,0,0
000328,22,50,16,116,113,116,006,0,0,0,0
000329,22,50,16,116,113,116,006,0,0,0,0
000330,22,50,16,116,113,116,006,0,0,0,0
000331,22,50,16,116,113,116,006,0,0,0,0
000332,22,50,16,116,113,116,006,0,0,0,0
000333,22,50,16,116,113,116,006,0,0,0,0
000334,22,50,16,119,113,116,006,0,0,0,0
000335,22,50,16,116,113,117,006,0,0,0,0
000336,22,50,16,116,113,118,006,0,0,0,0
000337,22,50,16,116,113,116,006,0,0,0,0
000338,22,50,16,118,113,118,006,0,0,0,0
000339,22,50,16,116,113,118,006,0,0,0,0
000340,22,50,16,116,113,118,006,0,0,0,0
000341,22,50,16,116,113,118,006,0,0,0,0
000342,22,50,16,117,121,116,006,0,0,0,0
000343,22,50,16,116,113,116,006,0,0,0,0
000344,22,50,16,116,113,116,006,0,0,0,0
000345,22,50,16,116,113,116,006,0,0,0,0
000346,22,50,16,116,114,116,006,0,0,0,0
000347,22,50,16,116,113,118,006,0,0,0,0
000348,22,50,16,116,113,116,006,0,0,0,0
000349,22,50,16,116,113,116,006,0,0,0,0
000350,22,50,16,119,113,116,006,0,0,0,0
000351,22,50,16,116,113,118,006,0,0,0,0
000352,22,50,16,116,113,116,006,0,0,0,0
000353,22,50,16,116,114,118,007,0,0,0,0
000354,22,50,16,116,114,121,006,0,0,0,0
000355,22,50,16,116,113,117,006,0,0,0,0
000356,22,50,16,116,113,116,006,0,0,0,0
000357,22,50,16,116,113,117,006,0,0,0,0
000358,22,50,16,117,115,117,006,0,0,0,0
000359,22,50,16,116,114,118,006,0,0,0,0
000360,22,50,16,116,113,117,006,0,0,0,0
000361,22,50,16,116,113,117,006,0,0,0,0
000362,22,50,16,116,114,117,006,0,0,0,0
000363,22,50,16,116,113,118,006,0,0,0,0
000364,22,50,16,116,114,118,006,0,0,0,0
000365,22,50,16,116,113,119,006,0,0,0,0
000366,22,50,16,116,114,121,006,0,0,0,0
000367,22,50,16,116,113,118,006,0,0,0,0
000368,22,50,16,116,113,116,006,0,0,0,0
000369,22,50,16,116,113,116,006,0,0,0,0
000370,22,50,16,116,113,119,006,0,0,0,0
000371,22,50,16,116,113,118,006,0,0,0,0
000372,22,50,16,116,113,116,006,0,0,0,0
000373,22,50,16,116,113,117,006,0,0,0,0
000374,22,50,16,116,113,120,006,0,0,0,0
000375,22,50,16,116,113,118,006,0,0,0,0
000376,22,50,16,116,113,118,006,0,0,0,0
